REG_ENT_NAME,CITY_NAME,ZIP_CD,COUNTY,PHYS_NAME
CULLEN DRY CLEANERS,PEARLAND,77581,BRAZORIA,CULLEN DRY CLEANERS
FRAKEYS CLEANERS,LAKE JACKSON,77566,BRAZORIA,FRAKEYS CLEANERS
BEST CLEANERS,LAKE JACKSON,77566,BRAZORIA,BEST CLEANERS
EXPRESS 1.59 CLEANERS,LAKE JACKSON,77566,BRAZORIA,EXPRESS 1.59 CLEANERS
K & T DRY CLEAN,PEARLAND,77581,BRAZORIA,DRY CLEAN SUPER CENTER
SILVERLINE DRY CLEANER,PEARLAND,77584,BRAZORIA,SILVERLINE DRY CLEANER
IDEAL CLEANERS AND LAUNDRY,ANGLETON,77515,BRAZORIA,IDEAL CLEANERS AND LAUNDRY
GEORGES CLEANERS,ALVIN,77511,BRAZORIA,GEORGES CLEANERS
OXFORD CLEANERS,PEARLAND,77584,BRAZORIA,OXFORD CLEANERS
OXFORD CLEANERS,PEARLAND,77581,BRAZORIA,OXFORD CLEANERS
EXPRESS SUPER CLEANERS,PEARLAND,77581,BRAZORIA,EXPRESS SUPER CLEANERS
SILVER LAKE SUPER DRY CLEANERS,PEARLAND,77584,BRAZORIA,SILVER LAKE SUPER DRY CLEANERS
ADA CLEANERS,ANGLETON,77515,BRAZORIA,ADA CLEANERS
VILLA MARIA CLEANERS,BRYAN,77802,BRAZOS,VILLA MARIA CLEANERS
PRO CLEANERS,COLLEGE STATION,77840,BRAZOS,PRO CLEANERS
JOT 59 CLEANERS,COLLEGE STATION,77840,BRAZOS,JOT 59 CLEANERS
JOT 59 CLEANERS,COLLEGE STATION,77840,BRAZOS,JOT 59 CLEANERS
BRIARCREST CLEANERS,BRYAN,77802,BRAZOS,BRIARCREST CLEANERS
PARK CLEANERS,COLLEGE STATION,77840,BRAZOS,PARK CLEANERS
HALLMARK CLEANERS,BRYAN,77801,BRAZOS,HALLMARK CLEANERS
PRIDE CLEANERS,BRYAN,77802,BRAZOS,PRIDE CLEANERS
PRIDE CLEANERS,COLLEGE STATION,77845,BRAZOS,PRIDE CLEANERS
AGGIELAND CLEANERS,BRYAN,77807,BRAZOS,PRESTIGE CLEANERS
FABRIC CARE CLEANERS,BRYAN,77802,BRAZOS,FABRIC CARE CLEANERS
KIRKS CLEANERS,BRYAN,77802,BRAZOS,KIRKS CLEANERS
DISCOUNT CLEANERS,BRYAN,77802,BRAZOS,DISCOUNT CLEANERS
WEST 25TH CLEANERS,BRYAN,77803,BRAZOS,WEST 25TH CLEANERS
BRITE TOUCH CLEANERS,SUGAR LAND,77478,FORT BEND,BRITE TOUCH CLEANERS
CONTINENTAL CLEANERS,SUGAR LAND,77478,FORT BEND,CONTINENTAL CLEANERS
QUAIL CLEANERS,MISSOURI CITY,77459,FORT BEND,QUAIL CLEANERS
CRABB RIVER CLEANERS,RICHMOND,77469,FORT BEND,CRABB RIVER CLEANERS
QUALITY CLEANERS,STAFFORD,77477,FORT BEND,QUALITY CLEANERS
DULLES CLEANERS,STAFFORD,77477,FORT BEND,DULLES CLEANERS
RIVER OAKS CLEANERS,SUGAR LAND,77478,FORT BEND,RIVER OAKS CLEANERS
DRY CLEAN SUPER CENTER,RICHMOND,77406,FORT BEND,DRY CLEAN SUPER CENTER
DRY CLEAN SUPER CENTER,RICHMOND,77406,FORT BEND,DRY CLEAN SUPER CENTER
COUNTRY CLEANERS,SUGAR LAND,77478,FORT BEND,COUNTRY CLEANERS
KRISTIS CLEANERS,SUGAR LAND,77478,FORT BEND,KRISTIS CLEANERS
RICHMOND CLEANERS,RICHMOND,77469,FORT BEND,RICHMOND CLEANERS
FASHION PARK CLEANERS,KATY,77494,FORT BEND,FASHION PARK CLEANERS
DRY CLEAN SUPER CENTER,STAFFORD,77477,FORT BEND,DRY CLEAN SUPER CENTER
TIMES CLEANERS,SUGAR LAND,77478,FORT BEND,TIMES CLEANERS
VIP CLEANERS,MISSOURI CITY,77459,FORT BEND,VIP CLEANERS
DELUXE CLEANERS,SUGAR LAND,77479,FORT BEND,DELUXE CLEANERS
DELUXE CLEANERS,SUGAR LAND,77479,FORT BEND,DELUXE CLEANERS
MC 1 HOUR CLEANERS,MISSOURI CITY,77489,FORT BEND,MC 1 HOUR CLEANERS
LILLY 1.59 DRYCLEANING,SUGAR LAND,77478,FORT BEND,LILLY 1.59 DRYCLEANING
SUNNY CLEANER,HOUSTON,77083,FORT BEND,SUNNY CLEANER
DRY CLEAN SUPER CENTER,KATY,77450,FORT BEND,DRY CLEAN SUPER CENTER
SIENNA CLEANERS,MISSOURI CITY,77459,FORT BEND,SIENNA CLEANERS
